City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ancud,CL,2020-04-19 01:20:22,-41.87,-73.82,51.8,93,75,8.05
70,Hilo,US,2020-04-19 01:09:18,19.73,-155.09,82.4,54,20,10.29
71,The Valley,AI,2020-04-19 01:13:16,18.22,-63.06,80.6,78,40,10.29
72,Hermanus,ZA,2020-04-19 01:12:35,-34.42,19.23,64.99,53,94,2.01
73,Jamestown,US,2020-04-19 01:11:56,42.1,-79.24,43.0,55,1,6.93
74,Paldiski,EE,2020-04-19 01:20:24,59.36,24.05,37.0,77,40,7.0
75,Bay City,US,2020-04-19 01:20:25,43.59,-83.89,50.0,43,1,12.75
76,Bambanglipuro,ID,2020-04-19 01:16:32,-7.95,110.28,79.83,79,87,3.56
77,Moron,AR,2020-04-19 01:20:25,-34.65,-58.62,69.01,83,0,9.48
78,Kuruman,ZA,2020-04-19 01:20:26,-27.45,23.43,63.0,82,21,10.8
79,Ambovombe,MG,2020-04-19 01:20:26,-25.17,46.08,70.05,83,5,10.98
80,Cabedelo,BR,2020-04-19 01:20:27,-6.98,-34.83,78.8,94,90,2.24
81,Berdigestyakh,RU,2020-04-19 01:20:27,62.1,126.7,12.85,89,95,3.33
82,Puerto Carreno,CO,2020-04-19 01:16:47,6.19,-67.49,78.01,85,100,13.6
83,Pithoragarh,IN,2020-04-19 01:20:28,29.58,80.22,53.28,37,5,3.56
84,Puerto Ayora,EC,2020-04-19 01:09:06,-0.74,-90.35,82.4,74,75,9.17
85,Atuona,PF,2020-04-19 01:13:44,-9.8,-139.03,82.17,71,94,17.22
86,Severo-Kurilsk,RU,2020-04-19 01:13:18,50.68,156.12,34.54,89,22,13.94
87,Berlevag,NO,2020-04-19 01:19:14,70.86,29.09,34.47,89,80,9.6
88,Kodiak,US,2020-04-19 01:11:33,57.79,-152.41,46.4,75,40,9.17
89,Makakilo City,US,2020-04-19 01:20:33,21.35,-158.09,82.4,54,1,13.87
90,Faya,SA,2020-04-19 01:13:06,18.39,42.45,62.6,87,20,2.77
91,Kavieng,PG,2020-04-19 01:11:52,-2.57,150.8,83.07,74,98,4.45
92,Georgetown,MY,2020-04-19 01:12:09,5.41,100.34,84.2,94,20,3.36
93,Pisco,PE,2020-04-19 01:12:19,-13.7,-76.22,69.8,77,22,18.34
94,Ravar,IR,2020-04-19 01:20:36,31.27,56.81,59.22,48,59,1.16
95,Kaitangata,NZ,2020-04-19 01:11:59,-46.28,169.85,54.19,59,74,13.53
96,Muroto,JP,2020-04-19 01:20:37,33.28,134.15,66.2,45,40,8.05
97,Salta,AR,2020-04-19 01:15:30,-24.79,-65.41,60.8,87,9,4.7
98,Lorengau,PG,2020-04-19 01:12:58,-2.02,147.27,84.83,69,10,2.62
99,Lodja,CD,2020-04-19 01:20:38,-3.48,23.43,69.8,84,87,1.25
100,Yulara,AU,2020-04-19 01:20:39,-25.24,130.99,80.6,28,25,5.82
101,Ponta Do Sol,PT,2020-04-19 01:13:05,32.67,-17.1,57.0,63,18,1.01
