City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
166,166,Labrea,BR,2020-04-19 01:13:10,-7.26,-64.8,75.25,84,30,2.86,light rain,0,0
170,170,Vanimo,PG,2020-04-19 01:13:11,-2.67,141.3,84.67,72,95,4.07,light rain,0,0
171,171,Luanda,AO,2020-04-19 01:08:30,-8.84,13.23,77.0,94,75,3.36,broken clouds,0,0
172,172,Palu,ID,2020-04-19 01:13:13,-0.89,119.87,83.08,67,84,2.19,light rain,0,0
176,176,Vaini,TO,2020-04-19 01:13:14,-21.2,-175.2,82.4,69,40,12.75,scattered clouds,0,0
179,179,The Valley,AI,2020-04-19 01:13:16,18.22,-63.06,80.6,78,40,10.29,scattered clouds,0,0
182,182,Tabou,CI,2020-04-19 01:13:17,4.42,-7.35,79.34,86,100,7.83,light rain,0,0
185,185,Sechura,PE,2020-04-19 01:13:19,-5.56,-80.82,75.92,69,0,14.52,clear sky,0,0
189,189,Yashan,CN,2020-04-19 01:13:22,22.2,109.94,75.96,87,90,8.41,overcast clouds,0,0
190,190,Sinnamary,GF,2020-04-19 01:13:22,5.38,-52.95,80.01,84,67,10.65,broken clouds,0,0
200,200,Usakos,,2020-04-19 01:13:30,-22.0,15.6,78.84,24,68,5.44,broken clouds,0,0
203,203,Bokoro,TD,2020-04-19 01:13:34,12.38,17.06,82.33,12,34,9.78,scattered clouds,0,0
204,204,Namatanai,PG,2020-04-19 01:13:38,-3.67,152.43,83.41,75,95,7.99,light rain,0,0
208,208,Puerto Madero,MX,2020-04-19 01:13:40,14.72,-92.42,87.8,62,75,5.82,broken clouds,0,0
211,211,Bathsheba,BB,2020-04-19 01:09:22,13.22,-59.52,80.6,69,40,16.11,scattered clouds,0,0
213,213,Atuona,PF,2020-04-19 01:13:44,-9.8,-139.03,82.17,71,94,17.22,overcast clouds,0,0
215,215,Thinadhoo,MV,2020-04-19 01:13:45,0.53,72.93,83.62,76,87,11.9,overcast clouds,0,0
216,216,Coahuayana,MX,2020-04-19 01:13:45,18.73,-103.68,84.2,45,20,11.41,few clouds,0,0
217,217,Maningrida,AU,2020-04-19 01:13:46,-12.07,134.27,81.21,73,100,5.1,overcast clouds,0,0
222,222,Port Blair,IN,2020-04-19 01:13:48,11.67,92.75,83.28,74,17,6.06,few clouds,0,0
226,226,Alugan,PH,2020-04-19 01:13:50,12.22,125.48,82.78,74,14,12.55,few clouds,0,0
227,227,Merauke,ID,2020-04-19 01:09:28,-8.47,140.33,83.35,75,100,8.79,overcast clouds,0,0
234,234,Loreto,MX,2020-04-19 01:13:53,22.27,-101.97,80.11,14,98,12.86,overcast clouds,0,0
236,236,Alofi,NU,2020-04-19 01:13:54,-19.06,-169.92,84.2,70,34,16.11,light rain,0,0
239,239,Victoria,HK,2020-04-19 01:10:27,22.29,114.16,79.0,74,76,5.99,broken clouds,0,0
244,244,Sibolga,ID,2020-04-19 01:14:00,1.74,98.78,77.61,79,79,3.76,light rain,0,0
246,246,Mareeba,AU,2020-04-19 01:14:01,-17.0,145.43,88.0,77,33,1.99,light rain,0,0
