City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (last 3 hrs),Snow (last 3 hrs)
172,172,Aswan,EG,2020-04-19 19:05:46,24.09,32.91,76.37,22,0,4.09,clear sky,0,0
173,173,Cockburn Town,TC,2020-04-19 19:04:33,21.46,-71.14,78.55,79,16,14.18,few clouds,0,0
177,177,Chiang Klang,TH,2020-04-19 19:05:48,19.29,100.86,83.53,40,44,1.1,scattered clouds,0,0
178,178,Chandla,IN,2020-04-19 19:05:49,25.08,80.2,87.85,16,93,4.7,overcast clouds,0,0
180,180,Sola,VU,2020-04-19 19:05:51,-13.88,167.55,75.2,100,20,4.79,few clouds,0,0
182,182,Souillac,MU,2020-04-19 18:57:36,-20.52,57.52,77.0,83,75,9.17,broken clouds,0,0
189,189,Kapaa,US,2020-04-19 19:00:54,22.08,-159.32,79.0,83,75,5.82,broken clouds,0,0
198,198,Maningrida,AU,2020-04-19 19:06:01,-12.07,134.27,76.87,88,4,6.93,light rain,0,0
199,199,Maceio,BR,2020-04-19 19:02:24,-9.67,-35.74,82.4,74,40,10.29,shower rain,0,0
208,208,Simga,IN,2020-04-19 19:06:07,21.63,81.7,89.64,23,53,2.93,broken clouds,0,0
211,211,Mangrol,IN,2020-04-19 19:06:10,21.12,70.12,81.3,63,26,12.41,scattered clouds,0,0
212,212,San Patricio,MX,2020-04-19 19:02:47,19.22,-104.7,78.8,69,5,11.41,clear sky,0,0
213,213,Marsh Harbour,BS,2020-04-19 19:05:16,26.54,-77.06,81.25,74,20,13.56,few clouds,0,0
217,217,Manta,EC,2020-04-19 19:06:14,-0.95,-80.73,84.2,58,40,11.41,scattered clouds,0,0
221,221,Kailua,US,2020-04-19 19:05:42,21.4,-157.74,80.6,57,75,6.29,broken clouds,0,0
222,222,Butaritari,KI,2020-04-19 19:02:28,3.07,172.79,83.07,75,14,12.5,light rain,0,0
223,223,Kuala Terengganu,MY,2020-04-19 19:06:20,5.33,103.14,82.4,88,40,2.24,scattered clouds,0,0
224,224,Kloulklubed,PW,2020-04-19 19:06:22,7.04,134.26,78.8,94,75,3.36,broken clouds,0,0
225,225,Tha Mai,TH,2020-04-19 19:06:22,12.62,102.0,82.0,88,2,3.36,clear sky,0,0
226,226,Palembang,ID,2020-04-19 19:06:23,-2.92,104.75,76.06,95,84,0.45,broken clouds,0,0
228,228,East London,ZA,2020-04-19 19:04:23,-33.02,27.91,77.58,64,8,18.14,clear sky,0,0
230,230,Mar Del Plata,AR,2020-04-19 18:58:49,-38.0,-57.56,77.0,57,2,16.11,clear sky,0,0
232,232,Victoria,HK,2020-04-19 19:05:53,22.29,114.16,75.99,88,45,5.01,scattered clouds,0,0
237,237,Awjilah,LY,2020-04-19 19:06:32,29.11,21.29,76.73,18,9,7.52,clear sky,0,0
240,240,Bubaque,GW,2020-04-19 19:06:02,11.28,-15.83,77.9,71,75,17.0,broken clouds,0,0
247,247,Acapulco,MX,2020-04-19 19:02:00,16.86,-99.89,84.2,70,20,5.82,few clouds,0,0
256,256,Jizan,SA,2020-04-19 19:06:44,17.33,42.67,87.8,66,75,7.72,broken clouds,0,0
258,258,Isangel,VU,2020-04-19 19:06:45,-19.55,169.27,78.89,84,100,16.4,light rain,0,0
260,260,Gigmoto,PH,2020-04-19 19:06:48,13.78,124.39,81.43,80,84,11.23,broken clouds,0,0
265,265,Mazagao,BR,2020-04-19 19:06:50,-0.12,-51.29,91.4,59,20,8.05,few clouds,0,0
268,268,Hambantota,LK,2020-04-19 19:02:59,6.12,81.12,78.8,100,99,2.24,light rain,0,0
271,271,Sangueya,GN,2020-04-19 19:06:53,10.7,-14.37,86.76,51,97,11.36,overcast clouds,0,0
275,275,Hualmay,PE,2020-04-19 19:01:58,-11.1,-77.61,76.95,62,19,9.28,few clouds,0,0
280,280,Ibipeba,BR,2020-04-19 19:06:59,-11.64,-42.01,80.56,52,80,9.08,broken clouds,0,0
282,282,Mogadishu,SO,2020-04-19 19:07:00,2.04,45.34,84.88,70,99,9.28,overcast clouds,0,0
283,283,Islamkot,PK,2020-04-19 19:07:01,24.7,70.18,84.69,40,100,17.13,overcast clouds,0,0
286,286,Ponta Pora,BR,2020-04-19 19:07:03,-22.54,-55.73,80.6,51,0,6.93,clear sky,0,0
291,291,Cabo San Lucas,MX,2020-04-19 19:02:57,22.89,-109.91,75.99,64,5,6.93,clear sky,0,0
292,292,Isla Mujeres,MX,2020-04-19 19:06:29,21.23,-86.73,86.0,66,75,18.34,broken clouds,0,0
293,293,Port Blair,IN,2020-04-19 19:07:07,11.67,92.75,83.88,76,5,8.19,clear sky,0,0
294,294,Lokoja,NG,2020-04-19 19:07:08,7.8,6.74,83.93,64,96,9.98,light rain,0,0
295,295,Kulhudhuffushi,MV,2020-04-19 19:07:08,6.62,73.07,86.58,72,39,8.16,scattered clouds,0,0
298,298,Portel,BR,2020-04-19 19:07:10,-1.94,-50.82,87.35,72,81,0.85,moderate rain,0,0
300,300,Jacksonville,US,2020-04-19 19:02:54,30.33,-81.66,84.99,65,75,6.93,broken clouds,0,0
301,301,Wanning,CN,2020-04-19 19:07:11,18.8,110.4,77.23,90,87,7.34,overcast clouds,0,0
303,303,Manadhoo,MV,2020-04-19 19:07:12,5.77,73.38,86.38,72,21,9.22,few clouds,0,0
308,308,Kutum,SD,2020-04-19 19:04:06,14.2,24.67,77.22,11,36,12.82,scattered clouds,0,0
310,310,Sambava,MG,2020-04-19 19:07:17,-14.27,50.17,75.54,86,11,6.04,light rain,0,0
313,313,Loubomo,CG,2020-04-19 19:07:19,-4.2,12.67,75.67,77,90,1.83,light rain,0,0
315,315,Bathsheba,BB,2020-04-19 19:07:01,13.22,-59.52,86.0,58,20,19.46,few clouds,0,0
317,317,Dicabisagan,PH,2020-04-19 19:07:21,17.08,122.42,78.84,85,99,8.25,light rain,0,0
319,319,Nabinagar,BD,2020-04-19 19:05:04,23.89,90.97,82.4,78,75,9.17,haze,0,0
320,320,Bandarbeyla,SO,2020-04-19 19:07:22,9.49,50.81,82.78,69,61,10.25,broken clouds,0,0
